accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.0035,0.8429,0.5254,0.1221,-0.2441,0.0000,circle
0.0131,0.8484,0.5200,18.3716,-7.6294,11.1084,circle
-0.0060,0.8666,0.4767,-11.6577,0.8545,-12.2681,circle
-0.0165,1.0043,0.5431,157.4097,26.8555,16.8457,circle
0.0896,1.7678,0.0626,140.8081,-1.0376,205.9326,circle
0.0896,1.7678,0.0626,140.8081,-1.0376,205.9326,circle
0.5580,-0.9491,-1.8518,132.4463,209.3506,48.5840,circle
-1.2219,-0.5690,-1.0261,182.8613,370.4834,-173.6450,circle
-2.0250,1.5425,-0.5236,312.9272,257.8125,-380.5542,circle
-1.5679,2.8335,0.1604,119.5679,-25.3906,-129.6997,circle
-0.1201,1.3630,-1.2264,120.0561,-194.0918,263.6719,circle
1.4182,0.6289,-0.7416,-66.1011,-33.2031,229.8584,circle
0.8994,-0.1693,-0.2679,-189.6362,42.3584,187.6221,circle
0.3606,-1.2123,-0.9087,32.6538,129.8828,66.7725,circle
-0.4935,0.6274,-0.1742,101.8677,156.1279,-216.7969,circle
0.4644,-0.7642,-0.0100,-7.3242,-9.2163,-15.8081,circle
0.4696,-0.8706,-0.0166,-2.3804,-6.2866,1.1597,circle
0.5015,-0.7787,-0.0170,-3.2959,-1.7700,12.6953,circle
-0.3715,0.3057,-0.0753,28.8696,6.7139,175.2319,circle
-1.4596,-1.7922,0.2877,112.5488,58.5327,193.1763,circle
-1.4596,-1.7922,0.2877,112.5488,58.5327,193.1763,circle
0.1167,-1.6666,1.2640,46.6309,165.9546,-256.5918,circle
0.9158,-0.5505,0.8063,-93.2617,37.5366,-216.3086,circle
1.1565,0.3958,0.3405,-85.2051,-75.0122,-142.8223,circle
0.8276,0.8263,0.2159,73.5474,-152.2217,15.0146,circle
-0.4154,0.1112,0.1982,108.3374,-134.8877,184.1431,circle
-1.0276,-0.8652,0.4659,123.1689,-59.2041,180.5420,circle
-1.2030,-1.5055,0.6896,94.7876,0.7324,99.7314,circle
-0.9828,-1.9443,0.3561,1.7700,78.9185,-64.0869,circle
-0.1276,-1.1687,0.8362,53.0395,184.8755,-196.3501,circle
0.6067,-0.7902,-0.1102,-12.2070,2.6855,2.5024,circle
0.8141,-0.7035,-0.0264,1.1597,1.0376,-12.0239,circle
1.1445,-0.3334,0.1250,8.6060,-25.2686,-10.6812,circle
0.4532,1.0176,0.2014,58.8379,-69.1528,102.7222,circle
-1.7720,-0.7753,0.3481,106.6894,-70.7397,346.6797,circle
-1.7720,-0.7753,0.3481,106.6894,-70.7397,346.6797,circle
-1.3232,-1.4418,0.4720,144.1040,60.9741,-103.2104,circle
-0.4105,-0.7572,1.2996,107.9712,139.4043,-288.3911,circle
0.7040,-0.6816,1.6256,-60.9131,66.9556,-245.4834,circle
1.1852,0.1979,0.8273,-89.8437,-93.2007,-168.8843,circle
0.7836,0.8776,0.0372,25.1465,-216.3696,-16.1743,circle
-0.3965,-0.3536,0.0137,83.0688,-140.5029,185.2417,circle
-0.6417,-1.7975,0.2874,38.0859,-31.6162,117.6758,circle
0.3395,0.1073,0.1539,54.0161,-1.5259,-0.1831,circle
-1.0200,-0.9192,0.1300,76.4771,14.2822,172.3022,circle
1.2415,0.0663,0.1219,-12.1460,-27.0996,4.6997,circle
1.1393,0.8098,-0.0378,62.5000,-54.7485,73.9136,circle
-0.0444,-0.0602,0.4130,98.9990,-33.3252,203.1250,circle
-0.9044,-0.5012,0.6483,119.0185,0.0000,249.2065,circle
-1.4535,-1.6786,0.8979,108.0933,20.7520,238.7695,circle
-1.4535,-1.6786,0.8979,108.0933,20.7520,238.7695,circle
-0.7185,-0.9028,1.1644,69.5801,87.7075,-266.7236,circle
0.5461,-0.5084,1.6282,-65.7349,93.5059,-282.1655,circle
1.1444,0.0571,1.0345,-135.6201,-41.1987,-181.6406,circle
1.0646,0.6849,0.2891,-77.3926,-159.6069,-89.4775,circle
0.0488,0.6385,0.0330,79.4067,-170.5322,98.9380,circle
-0.7820,-0.5468,0.1284,107.7270,-81.4209,229.7973,circle
-0.9471,-1.1735,0.5415,101.3794,-15.0146,163.5742,circle
-0.9056,-1.3950,0.5488,59.5703,13.1226,101.1352,circle
-0.6865,-1.4723,0.5459,61.2793,-4.5776,-12.2070,circle
-0.0822,-0.9724,0.2852,-22.2778,4.0894,-8.5449,circle
-0.1973,-0.7792,0.2209,-75.9277,-6.7139,-27.5269,circle
-0.7230,-0.7559,0.0494,-85.8765,-29.8462,5.1270,circle
-0.7310,-1.4233,0.0703,59.3872,39.5508,42.3584,circle
0.1042,-1.7368,0.3781,3.6621,139.1602,-79.6509,circle
0.1042,-1.7368,0.3781,3.6621,139.1602,-79.6509,circle
1.0109,-0.5690,0.2906,-132.5073,-2.4414,-66.5283,circle
0.4922,0.1309,-0.0474,-55.6030,-129.5166,-40.1611,circle
-0.2097,-0.3505,0.0002,64.3921,-151.5503,26.2451,circle
-0.5038,-0.5519,0.2754,106.6894,-102.5391,28.0151,circle
-0.9103,-0.9708,0.3400,58.8379,-70.0684,75.2563,circle
-1.0944,-1.6388,0.0496,3.7231,-15.1367,21.0571,circle
-0.7058,-1.5447,-0.0133,4.8218,149.2310,-68.7256,circle
0.2498,-1.3291,0.3291,-34.9731,187.5610,-29.2358,circle
0.5057,-1.0582,0.0457,-62.5000,89.6606,-27.8931,circle
-0.1190,-0.2523,-0.0912,0.8545,-117.6758,76.9043,circle
-0.6818,-0.3582,0.0505,40.8936,-123.7793,71.1060,circle
-1.2129,-0.8396,0.1715,76.9653,-105.4077,63.9648,circle
-1.2198,-1.1129,0.1093,82.0312,-41.8091,6.6528,circle
